Designator,Mid X,Mid Y,Rotation,Layer
C1,254.5,-97.0,0.0,bottom
C10,248.5,-80.5,-90.0,bottom
C11,267.0,-76.5,90.0,bottom
C12,269.5,-76.5,90.0,bottom
C13,272.0,-76.5,90.0,bottom
C14,269.0,-85.5,90.0,bottom
C15,269.0,-91.0,-90.0,bottom
C16,241.1,-132.3,0.0,bottom
C17,241.1,-147.7,180.0,bottom
C18,247.95,-116.5,180.0,bottom
C19,261.9,-46.9,90.0,bottom
C2,248.5,-84.05,90.0,bottom
C20,265.3,-46.9,90.0,bottom
C21,274.5,-81.2,90.0,bottom
C3,244.2,-56.8,0.0,bottom
C4,229.4,-57.15,-90.0,bottom
C5,263.4,-137.5,0.0,bottom
C6,263.4,-135.1,0.0,bottom
C7,251.0,-97.05,-90.0,bottom
C8,264.0,-97.0,0.0,bottom
C9,246.0,-80.5,-90.0,bottom
D1,109.0,-45.0,180.0,bottom
D10,147.0,-58.0,180.0,bottom
D11,166.0,-57.0,180.0,bottom
D12,185.0,-58.0,180.0,bottom
D13,204.0,-60.0,180.0,bottom
D14,223.0,-64.0,180.0,bottom
D15,109.0,-83.0,180.0,bottom
D16,128.0,-79.0,180.0,bottom
D17,147.0,-77.0,180.0,bottom
D18,166.0,-76.0,180.0,bottom
D19,185.0,-77.0,180.0,bottom
D2,128.0,-41.0,180.0,bottom
D20,204.0,-79.0,180.0,bottom
D21,223.0,-83.0,180.0,bottom
D22,109.0,-102.0,180.0,bottom
D23,128.0,-98.0,180.0,bottom
D24,147.0,-96.0,180.0,bottom
D25,166.0,-95.0,180.0,bottom
D26,185.0,-96.0,180.0,bottom
D27,204.0,-98.0,180.0,bottom
D28,223.0,-102.0,180.0,bottom
D29,109.0,-121.0,180.0,bottom
D3,147.0,-39.0,180.0,bottom
D30,128.0,-117.0,180.0,bottom
D31,147.0,-115.0,180.0,bottom
D32,166.0,-114.0,180.0,bottom
D33,185.0,-115.0,180.0,bottom
D34,204.0,-117.0,180.0,bottom
D35,223.0,-121.0,180.0,bottom
D36,211.75738,-143.98041,-45.0,bottom
D37,225.192414,-157.415436,-45.0,bottom
D38,238.627443,-170.850464,-45.0,bottom
D39,244.0,-50.8,90.0,bottom
D4,166.0,-38.0,180.0,bottom
D40,229.5,-52.5,-90.0,bottom
D41,261.0,-100.5,0.0,bottom
D5,185.0,-39.0,180.0,bottom
D6,204.0,-41.0,180.0,bottom
D7,223.0,-45.0,180.0,bottom
D8,109.0,-64.0,180.0,bottom
D9,128.0,-60.0,180.0,bottom
FB1,244.2,-54.4,180.0,bottom
J1,236.2,-38.5,-20.0,bottom
J2,252.2,-44.2,-20.0,bottom
J3,262.625,-103.65,180.0,bottom
K1,105.0,-40.0,0.0,top
K10,143.0,-53.0,0.0,top
K11,162.0,-52.0,0.0,top
K12,181.0,-53.0,0.0,top
K13,200.0,-55.0,0.0,top
K14,219.0,-59.0,0.0,top
K15,105.0,-78.0,0.0,top
K16,124.0,-74.0,0.0,top
K17,143.0,-72.0,0.0,top
K18,162.0,-71.0,0.0,top
K19,181.0,-72.0,0.0,top
K2,124.0,-36.0,0.0,top
K20,200.0,-74.0,0.0,top
K21,219.0,-78.0,0.0,top
K22,105.0,-97.0,0.0,top
K23,124.0,-93.0,0.0,top
K24,143.0,-91.0,0.0,top
K25,162.0,-90.0,0.0,top
K26,181.0,-91.0,0.0,top
K27,200.0,-93.0,0.0,top
K28,219.0,-97.0,0.0,top
K29,105.0,-116.0,0.0,top
K3,143.0,-34.0,0.0,top
K30,124.0,-112.0,0.0,top
K31,143.0,-110.0,0.0,top
K32,162.0,-109.0,0.0,top
K33,181.0,-110.0,0.0,top
K34,200.0,-112.0,0.0,top
K35,219.0,-116.0,0.0,top
K36,212.564971,-137.960236,-45.0,top
K37,226.0,-151.395265,-45.0,top
K38,239.435029,-164.830294,-45.0,top
K4,162.0,-33.0,0.0,top
K5,181.0,-34.0,0.0,top
K6,200.0,-36.0,0.0,top
K7,219.0,-40.0,0.0,top
K8,105.0,-59.0,0.0,top
K9,124.0,-55.0,0.0,top
R1,228.9,-46.3,-90.0,bottom
R10,263.4,-140.0,0.0,bottom
R11,241.1,-137.4875,0.0,bottom
R12,241.1,-134.9,0.0,bottom
R13,241.1,-142.4875,0.0,bottom
R14,241.1,-145.1,180.0,bottom
R15,271.5,-87.5,-90.0,bottom
R16,259.1,-63.8,90.0,bottom
R17,256.8,-63.8,90.0,bottom
R18,263.7,-63.7875,90.0,bottom
R19,261.4,-63.8,90.0,bottom
R2,231.1,-46.3,-90.0,bottom
R20,265.9,-63.8125,90.0,bottom
R21,252.1,-63.8,90.0,bottom
