"Source:","/home/smol/Projects/ECE477/Splitboard-B/Splitboard-B.kicad_sch"
"Date:","Thu 22 Sep 2022 04:43:25 PM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","83"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D2","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D3","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D4","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D5","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D6","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D7","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D8","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D9","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D10","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D11","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D12","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D13","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D14","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D15","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D16","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D17","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D18","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D19","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D20","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D21","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D22","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D23","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D24","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D25","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D26","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D27","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D28","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D29","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D30","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D31","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D32","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D33","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D34","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D35","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D36","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D37","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","D38","D","KBT1-rescue:D-Device","Diode_SMD:D_SOD-123",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm","~"
